id,fg_did,Business_Name,street1,city,state,zipcode
660477,8503042546,Liberty Mutual,299 Mowat School Rd,Lynn Haven,FL,32444
660475,9793536831,Liberty Mutual,210 S Douglas St,Brenham,TX,77833
660471,7204655134,Liberty Mutual,7912 E Belleview Ave,Englewood,CO,80111
660473,9522224282,Liberty Mutual,413 Central Ave E,St Michael,MN,55376
660469,8326994733,Liberty Mutual,1210 1st St,La Marque,TX,77568
660467,7865078147,Liberty Mutual,12843 NW 42nd Ave,Opa-locka,FL,33054
660465,7324829562,Liberty Mutual,27 Kilmer Rd,Edison,NJ,8817
660463,2563841365,Liberty Mutual,231 3rd Ave SE,Cullman,AL,35055
660459,5412759008,Liberty Mutual,935 Umatilla-Stanfield Hwy,Hermiston,OR,97838
660457,6624685666,Liberty Mutual,510 Franklin St,Corinth,MS,38834
660455,7162457014,Liberty Mutual,572 Terrace Blvd,Depew,NY,14043
660453,6157279126,Liberty Mutual,11 W Hornsby St,Athens,TN,37303
660451,3212513457,Liberty Mutual,1652 S Wickham Rd,West Melbourne,FL,32904
660449,9418456025,Liberty Mutual,720 8th Ave W,Palmetto,FL,34221
660445,6085120273,Liberty Mutual,188 W Main St,Whitewater,WI,53190
660443,2406964837,Liberty Mutual,5345 Baltimore Ave,Hyattsville,MD,20781
660441,2708474486,Liberty Mutual,111 E Public Square,Glasgow,KY,42141
660439,5412488906,Liberty Mutual,2763 S Santiam Hwy,Lebanon,OR,97355
660437,7406299013,Liberty Mutual,964 Pike St,Marietta,OH,45750
660435,7652677021,Liberty Mutual,210 W Main St,Lebanon,IN,46052
660431,2055780837,Liberty Mutual,2318 Center Point Pkwy,Center Point,AL,35215
660433,3178249630,Liberty Mutual,412 Main St,Beech Grove,IN,46107
660429,4172884547,Liberty Mutual,810 Hwy 66,Lebanon,MO,65536
660425,7156299984,Liberty Mutual,135 N Main St,River Falls,WI,54022
660423,9204611787,Liberty Mutual,225 Dodge St,Kaukauna,WI,54130
660421,8637772785,Liberty Mutual,558 Havendale Blvd,Auburndale,FL,33823
660419,5036766719,Liberty Mutual,4681 NW 257th Way,Troutdale,OR,97060
660417,9312786323,Liberty Mutual,143 W Summer St,Greeneville,TN,37743
660415,5155287091,Liberty Mutual,122 E Salem Ave,Indianola,IA,50125
660413,3364970926,Liberty Mutual,726 Patrick St,Eden,NC,27288
660411,9036257026,Liberty Mutual,234 S Main St,Jacksonville,TX,75766
660409,9036257025,Liberty Mutual,111 Tomlinson St,Sulphur Springs,TX,75482
660407,6362830452,Liberty Mutual,12 W 3rd St,Washington,MO,63090
660405,5754047221,Liberty Mutual,131 N Platinum Ave,deming,NM,88030
660401,9282638567,Liberty Mutual,213 Hwy 260,Payson,AZ,85541
660399,5705804693,Liberty Mutual,793 N Centre St,Pottsville,PA,17901
660397,8622074033,Liberty Mutual,463 River Styx Rd,Hopatcong,NJ,7843
660393,6185094419,Liberty Mutual,633 Jefferson St,Shorewood,IL,60404
660391,9547157397,Liberty Mutual,3310 U.S. 441,West Park,FL,33023
660387,5056336172,Liberty Mutual,1861 New Mexico 273,Sunland Park,NM,88063
660389,7049619417,Liberty Mutual,110 S Depot St,Albemarle,NC,28001
660385,2092356245,Liberty Mutual,1139 W Main St,Ripon,CA,95366
660379,8063293004,Liberty Mutual,223 Main St,Hereford,TX,79045
660377,3345308449,Liberty Mutual,162 E Barbour St,Eufaula,AL,36027
660375,9085214025,Liberty Mutual,111 Heckman St,Phillipsburg,NJ,8865
660367,3093788177,Liberty Mutual,11 W Elm St,Canton,IL,61520
660365,4406527236,Liberty Mutual,62 W Garfield Rd,Aurora,OH,44202
660363,7603071097,Liberty Mutual,8154 California City Blvd,California City,CA,93505
660361,8452880632,Liberty Mutual,387 Main St,Beacon,NY,12508
660359,2015372364,Liberty Mutual,14 S Spruce St,Ramsey,NJ,7446
628409,3374652764,Liberty Mutual,111 Louisiana 182,New Iberia,LA,70560
628407,3194937016,Liberty Mutual,765 Frontage Rd Ave,Cedar Falls,IA,50613
628405,9522229230,Liberty Mutual,7261 Cedar Lake Rd,St Louis Park,MN,55426
628403,3074595817,Liberty Mutual,270 N Wolcott St,Casper,WY,82601
628401,5618995032,Liberty Mutual,1710 S Federal Hwy,Delray Beach,FL,33483
628399,2198529260,Liberty Mutual,7971 Broadway,Merrillville,IN,46410
628397,4087856233,Liberty Mutual,110 Tennant Ave,Morgan Hill,CA,95037
628395,7792212476,Liberty Mutual,285 E Lincoln Hwy,DeKalb,IL,60115
628393,2489528027,Liberty Mutual,42792 Grand River Ave,Novi,MI,48375
628391,9255236679,Liberty Mutual,1110 Moose Way,Pittsburg,CA,94565
628389,3096214653,Liberty Mutual,310 20th St,Rock Island,IL,61201
628387,7542231074,Liberty Mutual,1370 U.S. 441,Margate,FL,33063
628385,9209667149,Liberty Mutual,817 Jay St,Manitowoc,WI,54220
628383,6017901916,Liberty Mutual,2311 8th St,Meridian,MS,39301
628381,9522229226,Liberty Mutual,6510 Drew Ave S,Edina,MN,55435
628379,2039737313,Liberty Mutual,1154 U.S. 1,Milford,CT,6460
628377,3147825279,Liberty Mutual,1241 S Duchesne Dr,St Charles,MO,63301
628375,5418447168,Liberty Mutual,911 NE E St,Grants Pass,OR,97526
628373,2283490463,Liberty Mutual,761 Water St,Biloxi,MS,39530
628371,2089018164,Liberty Mutual,330 A St,Idaho Falls,ID,83402
628369,6576009957,Liberty Mutual,30303 Crown Valley Pkwy,Laguna Niguel,CA,92677
628367,2246371930,Liberty Mutual,2135 Estes Ave,Elk Grove Village,IL,60007
628365,6267755207,Liberty Mutual,5561 California 19,Temple City,CA,91780
628363,7658075029,Liberty Mutual,360 N Main St,Kokomo,IN,46901
628361,6267104594,Liberty Mutual,3920 S Walnut Grove Ave,Rosemead,CA,91770
628359,7657344197,Liberty Mutual,430 N High St,Muncie,IN,47305
628355,4422272559,Liberty Mutual,1111 Imperial Ave,Calexico,CA,92231
628357,8639691955,Liberty Mutual,698 Cypress Gardens Blvd,Winter Haven,FL,33880
628353,3082218086,Liberty Mutual,265 N Locust St,Grand Island,NE,68801
628349,2096663095,Liberty Mutual,803 N Main St,Manteca,CA,95336
628351,3316251372,Liberty Mutual,135 N Hale St,Wheaton,IL,60187
628347,9522229217,Liberty Mutual,7067 Cahill Ave E,Inver Grove Heights,MN,55076
628343,2168004768,Liberty Mutual,42 Severance Cir,Cleveland Heights,OH,44118
628345,5156129661,Liberty Mutual,2951 100th St,Urbandale,IA,50322
628341,5618804855,Liberty Mutual,339 Florida 7,Royal Palm Beach,FL,33411
628337,3096214228,Liberty Mutual,531 Court St,Pekin,IL,61554
628335,9284604453,Liberty Mutual,8411 E Valley Rd,Prescott Valley,AZ,86314
628333,5177485682,Liberty Mutual,122 Albert Ave,East Lansing,MI,48823
628331,9522229214,Liberty Mutual,20710 Holyoke Ave,Lakeville,MN,55044
628329,2398295479,Liberty Mutual,2089 Colonial Blvd,Fort Myers,FL,33907
628327,9522229198,Liberty Mutual,111 1st Ave E,Shakopee,MN,55379
628325,6149297310,Liberty Mutual,6063 Perimeter Dr,Dublin,OH,43017
628323,3315519548,Liberty Mutual,850 Industrial Dr,Elmhurst,IL,60126
628321,5305648208,Liberty Mutual,548 Interstate 5 Business,Woodland,CA,95695
628319,7156023984,Liberty Mutual,111 Graham Ave,Eau Claire,WI,54701
628317,4422272557,Liberty Mutual,6369 Adobe Rd,Twentynine Palms,CA,92277
628315,4247049337,Liberty Mutual,6242 W Slauson Ave,Culver City,CA,90230
628313,3147647933,Liberty Mutual,16400 Swingley Ridge Rd,Chesterfield,MO,63017
628311,8037648203,Liberty Mutual,1861 N Hwy 17,Mount Pleasant,SC,29464
628309,4148775741,Liberty Mutual,3610 Edison Rd,Oak Creek,WI,53154
628307,4087854544,Liberty Mutual,2539 S Winchester Blvd,Campbell,CA,95008
628305,9087683017,Liberty Mutual,310 Netherwood Ave,Plainfield,NJ,7062
628303,7179253021,Liberty Mutual,1270 Pennsylvania 272,Lancaster,PA,17601
628301,6055500184,Liberty Mutual,710 Main St,Rapid City,SD,57701
628299,5177485681,Liberty Mutual,285 E Washington Ave,Jackson,MI,49201
628297,8037648180,Liberty Mutual,11 N Main St,Sumter,SC,29150
628295,2699788935,Liberty Mutual,145 W Centre Ave,Portage,MI,49024
628293,4158519925,Liberty Mutual,439 1st St,Petaluma,CA,94952
628291,7867664860,Liberty Mutual,1130 NW 165th St,Miami Gardens,FL,33169
628289,5109005093,Liberty Mutual,3870 Walnut Ave,Fremont,CA,94538
628287,4028190094,Liberty Mutual,1010 W 25th St,South Sioux City,NE,68776
628285,6576661131,Liberty Mutual,810 W 17th St,Costa Mesa,CA,92627
628283,2096663118,Liberty Mutual,1010 I St,Modesto,CA,95354
628281,3857224881,Liberty Mutual,237 E 2500 S,Ogden,UT,84401
628279,4087856193,Liberty Mutual,1314 Martin Ave,Santa Clara,CA,95050
628273,4422272572,Liberty Mutual,14928 Interstate 15 Business Loop,Victorville,CA,92395
628275,6095945683,Liberty Mutual,321 Chestnut Ave,Trenton,NJ,8609
628269,8329196027,Liberty Mutual,2452 S Main St,Pearland,TX,77581
628265,9494380320,Liberty Mutual,6549 Irvine Center Dr,Irvine,CA,92618
628267,8169458076,Liberty Mutual,110 N Main St,Independence,MO,64050
628263,9097643063,Liberty Mutual,13811 Monte Vista Ave,Chino,CA,91710
628259,2039737243,Liberty Mutual,678 West Ave,Norwalk,CT,6850
628257,8037648384,Liberty Mutual,3885 Faber Pl Dr,Charleston,SC,29405
628255,5717339304,Liberty Mutual,638 N Pollard St,Arlington,VA,22203
628253,7542205548,Liberty Mutual,7167 Florida 842,Plantation,FL,33317
628251,9167456802,Liberty Mutual,1471 Douglas Blvd,Roseville,CA,95661
628249,7867664631,Liberty Mutual,513 Florida 932,Hialeah,FL,33012
628247,6576009893,Liberty Mutual,2309 Ivy St,Chico,CA,95928
628245,4247049339,Liberty Mutual,210 E Beach Ave,Inglewood,CA,90302
628243,2534877022,Liberty Mutual,313 W Meeker St,Kent,WA,98032
628241,8106620378,Liberty Mutual,510 S Saginaw St,Flint,MI,48502
